Filing Date,Department or Agency,Regulation Title,Hearing/Report Date,Became Law,Available Documents
6/22/2020,ZONING BOARD OF ADJUSTMENT,EMERGENCY REGULATIONS REGARDING PUBLIC HEARING PROCEDURES,N,Y,"https://regulations.phila-records.com/pdfs/ZBA hearing procedures reg Approval memo.pdf, https://regulations.phila-records.com/pdfs/ZBA Reg Hearing Procedure 2[47152].pdf"
6/22/2020,ZONING BOARD OF ADJUSTMENT,EMERGENCY REGULATIONS REGARDING PUBLIC HEARING NOTICE REQUIREMENTS FOR ZONING HEARINGS AND OTHER RELATED MATTERS,N,Y,"https://regulations.phila-records.com/pdfs/ZBA Reg Notice and Filing Deadlines Approval Memo.pdf, https://regulations.phila-records.com/pdfs/ZBA Reg Notice and Filing Deadlines[47151].pdf"
6/22/2020,PHILADELPHIA WATER DEPARTMENT,"FORMAL NOTICE OF PROPOSED CHANGES IN RATES AND CHARGES- ANNUAL ADJUSTMENT OF TIERED ASSISTANCE PROGRAM RATE RIDER SURCHARGE RATES (TAP-R), FINAL PROPOSED TAP-R RECONCILIATION STATEMENT",N,Y,https://regulations.phila-records.com/pdfs/Formal Notice Annual TAP-R Adjustment Filing 06222020.pdf
6/18/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,AFFORDABLE HOUSING PERMIT APPLICATIONS,N,Y,"https://regulations.phila-records.com/pdfs/2020.6.15 Approval Memo for Affordable Housing Application Regulation.pdf, https://regulations.phila-records.com/pdfs/Admin Code Reg 6-17-20.pdf, https://regulations.phila-records.com/pdfs/LI - Affordable Housing Permit Applications Final.pdf"
6/17/2020,PHILADELPHIA CITY PLANNING COMMISSION,EMERGENCY REGULATIONS REGARDING PUBLIC MEETING NOTICE REQUIREMENTS FOR ZONING HEARINGS AND OTHER RELATED MATTERS,N,Y,"https://regulations.phila-records.com/pdfs/Board restart PCPC Public Meeting Regulation Adopted Version.pdf, https://regulations.phila-records.com/pdfs/PCPC public meeting and notice Approval memo.pdf"
6/12/2020,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS,N,Y,"https://regulations.phila-records.com/pdfs/6.14.37-20-05.pdf, https://regulations.phila-records.com/pdfs/10.09-20-05.pdf, https://regulations.phila-records.com/pdfs/Law Memo 20-05v2 SIGNED.pdf"
6/12/2020,OFFICE OF HUMAN RESOURCES,EMERGENCY COVID-19 -RELATED AMENDMENTS OF CIVIL SERVICE REGULATIONS,N,Y,"https://regulations.phila-records.com/pdfs/31.25-20-05.pdf, https://regulations.phila-records.com/pdfs/31.26-20-05.pdf, https://regulations.phila-records.com/pdfs/Law Memo 20-05 v2 SIGNED.pdf"
6/12/2020,DEPARTMENT OF PUBLIC HEALTH,SIXTH SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (MANDATORY DATA REPORTING ORDER),N,Y,"https://regulations.phila-records.com/pdfs/2020.6.12- Approval Memo for COVID-19 - Mandatory Reporting.pdf, https://regulations.phila-records.com/pdfs/20200612-Memo to Records re 2 BOH COVID-19 regulations.pdf, https://regulations.phila-records.com/pdfs/Reg 2- Emergency BOH reg adopting mandatory reporting order with Attachment A.pdf"
6/12/2020,DEPARTMENT OF PUBLIC HEALTH,FIFTH SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (SAFER AT HOME YELLOW PHASE),N,Y,"https://regulations.phila-records.com/pdfs/2020.6.12 Approval Memo for COVID-19 - Yellow Phase.pdf, https://regulations.phila-records.com/pdfs/20200612 Memo to Records re 2 BOH COVID-19 regulations.pdf, https://regulations.phila-records.com/pdfs/Reg 1 - Emergency BOH reg adopting yellow phase order with Attachment A.pdf"
6/10/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATIONS UNDER PHILADELPHIA CODE SECTION A-301.2.5(4) REGARDING TEMPORARY USES FOR CERTAIN OUTDOOR DINING AND RETAIL ACTIVITIES,N,Y,"https://regulations.phila-records.com/pdfs/LI Temporary Use Reg Approval Memo.pdf, https://regulations.phila-records.com/pdfs/TemporaryUse RegCode Final.pdf"
6/10/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,BOARD OF BUILDING STANDARDS RULES AND REGULATIONS,N,Y,"https://regulations.phila-records.com/pdfs/BBS W Miller ltr 6-8-20.pdf, https://regulations.phila-records.com/pdfs/Board of Building Standards Rules and Regs.pdf"
6/9/2020,DEPARTMENT OF STREETS,EMERGENCY REGULATION ADDRESSING RIGHT-OF-WAY CLOSURES FOR COMMERCIAL ACTIVITY DURING THE COVID-19 EMERGENCY EPIDEMIC EVENT,N,Y,https://regulations.phila-records.com/pdfs/20200609 Emergency Reg Street Closure JCK JBD Signed.pdf
6/1/2020,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",AIRPORT RATES AND CHARGES REGULATION AND AIRLINE OPERATING TERMS AND CONDITIONS FOR THE USE OF FACILITIES AND SERVICES AT PHILADELPHIA INTERNATIONAL AIRPORT AND NORTHEAST PHILADELPHIA AIRPORT,N,Y,"https://regulations.phila-records.com/pdfs/Cover Page.pdf, https://regulations.phila-records.com/pdfs/Letter June 1 2020.pdf, https://regulations.phila-records.com/pdfs/Regulation FY2021 Final 2020-05-29.pdf"
5/27/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,REGULATIONS REGARDING LICENSE AND PERMIT FEE REVISIONS UNDER SECTIONS A-901.15 AND 9-102,N,Y,"https://regulations.phila-records.com/pdfs/Fee Schedule, July 1, 2020 with cites v2.pdf, https://regulations.phila-records.com/pdfs/cover memo re L&I Fee Schedule v2.pdf, https://regulations.phila-records.com/pdfs/Fee Reg Letter 5-27-20.pdf"
5/22/2020,Procurement Department,Regulations of the Procurement Department Pursuant to Phila. Code 17-1402(1) “Professional Services Small Purchase Regulations”,Y,Y,"https://regulations.phila-records.com/pdfs/Cover memo-Procurement Micro Purchasing etc.- regs.pdf, https://regulations.phila-records.com/pdfs/NOTICE OF VIRTUAL PUBLIC MEETING-.pdf, https://regulations.phila-records.com/pdfs/Professional Services Small Purchase Regulations Public Hearing Report and Final Regulations_7.17.20.pdf"
5/22/2020,DEPARTMENT OF STREETS,AMENDMENT TO REGULATIONS GOVERNING MUNICIPAL AND PRIVATE COLLECTION OF REFUSE,N,Y,"https://regulations.phila-records.com/pdfs/Sanitation regs-commercial fee update Signed by CW.pdf, https://regulations.phila-records.com/pdfs/Signed Letter to Commissioner Leonard 05-20-20.docx (1).pdf"
5/22/2020,Procurement Department,"Regulations of the Procurement Department Pursuant to Section 8-200(1) and (2.1) of the Home Rule Charter: Micro Purchases, Small Order Purchases, and Local Business Purchases, collectively “Small Purchase Regulations”",N,Y,"https://regulations.phila-records.com/pdfs/Cover memo Procurement Micro Purchasing etc regs.pdf, https://regulations.phila-records.com/pdfs/Procurement Small Purchase Regulations executed.pdf"
5/22/2020,PHILADELPHIA LICENSE AND INSPECTION REVIEW BOARD,EMERGENCY REGULATION REESTABLISHING APPEAL FILING DEADLINES,N,Y,"https://regulations.phila-records.com/pdfs/BLIR Emergency Covid 19 lifting suspension of appeal deadline Approval Letter.pdf, https://regulations.phila-records.com/pdfs/BLIR Reg lifting susp appeal Board revision.pdf, https://regulations.phila-records.com/pdfs/Emergency BLIR Form Rev 1.pdf"
5/18/2020,ZONING BOARD OF ADJUSTMENT,EMERGENCY REGULATION EXTENDING BOARD APPROVALS IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/ZBA extension of Board approvals.pdf, https://regulations.phila-records.com/pdfs/Zoning Board Approval Reg Approval Letter.pdf"
5/16/2020,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",EMERGENCY REGULATION GOVERNING ACCESS TO PHILADELPHIA INTERNATIONAL AIRPORT TERMINAL BUILDINGS AND PREMISES WITHOUT AN AIRPORT BUSINESS PURPOSE DURING THE COVID-19 PANDEMIC,N,Y,"https://regulations.phila-records.com/pdfs/Dept. of Commerce Emergency Regulation Governing Access to PHL.effective 5.22.20.pdf, https://regulations.phila-records.com/pdfs/Law Department Approval of Emergency Regulation Governing Access to PHL effective 5.22.20.pdf"
5/15/2020,DEPARTMENT OF PUBLIC HEALTH,AMENDMENTS TO REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NONCOMMUNICABLE DISEASES AND CONDITIONS,N,Y,"https://regulations.phila-records.com/pdfs/2020.5.15- Amendments to Regulations Governing Control of Diseases and Conditions -  Approval Memo for COVID-19.pdf, https://regulations.phila-records.com/pdfs/20200515-Memo to Records re 2 BOH COVID-19 regulations.pdf, https://regulations.phila-records.com/pdfs/PMIS reg _ approved by BOH Law.pdf"
5/15/2020,DEPARTMENT OF PUBLIC HEALTH,FOURTH SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (DELEGATION OF AUTHORITY),N,Y,"https://regulations.phila-records.com/pdfs/2020.5.15 Fourth Supplemental Emergency Regulation -  Approval Memo for COVID-19.pdf, https://regulations.phila-records.com/pdfs/20200515 Memo to Records re 2 BOH COVID-19 regulations.pdf, https://regulations.phila-records.com/pdfs/Fourth Supplemental Regulation - Delegation - approved by BOH Law.pdf"
5/13/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATION MODIFYING RESTRICTIONS REGARDING THE PERIODS OF AUTHORIZED CONSTRUCTION WORK FOR CERTAIN TYPES OF PROJECTS UNDER CERTAIN CONDITIONS,N,Y,https://regulations.phila-records.com/pdfs/Work Hour Regulation.pdf
5/8/2020,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",EMERGENCY REGULATION REQUIRING CITY AND TENANT EMPLOYEES TO WEAR A FACE MASK ON PHILADELPHIA INTERNATIONAL AIRPORT PREMISES,N,Y,"https://regulations.phila-records.com/pdfs/Law Department Approval of May 8 Emergency Regulation Requiring Wearing a Mask at PHL effective May 11, 2020.pdf, https://regulations.phila-records.com/pdfs/May 8 Emergency Regulation Requiring Wearing a Face Mask at PHL effective May 11, 2020.pdf"
5/8/2020,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS,N,Y,"https://regulations.phila-records.com/pdfs/5.158-draft-20-04.pdf, https://regulations.phila-records.com/pdfs/23.05-draft-20-04.pdf, https://regulations.phila-records.com/pdfs/Law Memo 20-04 FINAL.pdf"
5/6/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATIONS ADDRESSING THE EXTENSION OF OPEN PERMIT APPLICATIONS IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/Open Permit application extension regulation.pdf, https://regulations.phila-records.com/pdfs/Permit Application Extension Reg Approval Letter.pdf"
5/6/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATIONS ADDRESSING EXPIRATION OF ACTIVE CONSTRUCTION PERMITS IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/Construction Permit Extension Reg Approval Letter.pdf, https://regulations.phila-records.com/pdfs/Construction permits extension regulation.pdf"
5/6/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATION EXTENDING DEADLINES TO COMPLETE PERIODIC INSPECTION REPORTS FOR EXTERIOR WALLS AND APPURTENANCES IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/Facade Inspection extension regulation.pdf, https://regulations.phila-records.com/pdfs/Facade Report Extension Reg Approval Letter.pdf"
5/6/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATIONS ADDRESSING EXPIRATION OF ACTIVE ZONING PERMITS IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/Zoning Permit Extension Reg Approval Letter.pdf, https://regulations.phila-records.com/pdfs/Zoning permits extension regulation.pdf"
5/4/2020,DEPARTMENT OF LICENSES AND INSPECTIONS,EMERGENCY REGULATION EXTENDING EXPIRATION DATE OF FOOD ESTABLISHMENT RETAIL – NON-PERMANENT LOCATION LICENSES IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/Signed Law Dept Approval Memo - Mobile Food Extension Reg.pdf, https://regulations.phila-records.com/pdfs/Signed Reg Extending Mobile Food Licenses re COVID19.pdf"
4/30/2020,DEPARTMENT OF PUBLIC HEALTH,EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 PERTAINING TO FINES AND PENALTIES,N,Y,https://regulations.phila-records.com/pdfs/Emergency BOH Regulation re Fines and Penalties.pdf
4/30/2020,DEPARTMENT OF PUBLIC HEALTH,THIRD SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (AUTHORIZED CONSTRUCTION ACTIVITY),N,Y,https://regulations.phila-records.com/pdfs/Third Supplemental Emergency BOH Regulation re Construction Activity.pdf
4/28/2020,OFFICE OF THE MANAGING DIRECTOR,EMERGENCY REGULATION DELAYING ENFORCEMENT OF AND ADJUSTING APPLICABLE TIME FRAMES REFERENCED IN CHAPTER 9-4900 OF THE PHILADELPHIA CODE: PROHIBITION ON USE OF CERTAIN BAGS BY RETAIL ESTABLISHMENTS IN LIGHT OF THE COVID-19 PANDEMIC,N,Y,"https://regulations.phila-records.com/pdfs/Approval Memo - Emergency Reg - Chapter 9-4900.pdf, https://regulations.phila-records.com/pdfs/Attachment B to Approval Memo - Declaration of Extraordinary Circumstance.pdf, https://regulations.phila-records.com/pdfs/Exhibit A to Approval Memo, Emergency Regulations Chapter 9-4900 - Plastic Bags.pdf, https://regulations.phila-records.com/pdfs/Memo - Plastic Bag Regulation.pdf"
4/23/2020,DEPARTMENT OF PUBLIC HEALTH,SECOND SUPPLEMENTAL EMERGENCY REGULATION CONCERNING COVID-19 (LONG-TERM CARE FACILITIES),N,Y,"https://regulations.phila-records.com/pdfs/Second Supplemental Emergency Regulation Governing the Control and Prevention of COVID-19 - approved by BOH and Law.pdf, https://regulations.phila-records.com/pdfs/20200423 Memo to Records re BOH COVID-19 regulation.pdf, https://regulations.phila-records.com/pdfs/Approval Memo - DPH Second Supplemental Emergency Regulation re COVID 19.pdf"
4/20/2020,DEPARTMENT OF COMMERCE,TEMPORARY EMERGENCY REGULATIONS UNDER CHAPTER 19-1500 OF THE PHILADELPHIA CODE “NOTIFICATION OF INTENTION TO CLOSE OR RELOCATE OPERATIONS” DUE TO COVID-19 PANDEMIC,N,Y,https://regulations.phila-records.com/pdfs/Commerce Department - WARN Chapter 9-1500 Temporary Emergency Regulation.pdf
4/9/2020,OFFICE OF SUSTAINABILITY ,AMENDED REGULATIONS ADDRESSING DEADLINES FOR ENERGY/WATER USE BENCHMARKING DURING THE COVID-19 EVENT,N,4/9/2020,"https://regulations.phila-records.com/pdfs/Benchmarking Reg_Amended for calendar year 2019_final.docx, https://regulations.phila-records.com/pdfs/Benchmarking Reg_Amended for calendar year 2019_final.pdf, https://regulations.phila-records.com/pdfs/Declaration of Extraordinary Circumstances.pdf, https://regulations.phila-records.com/pdfs/Law Memo - Emergency Benchmarking OOS Regs_4.9.20.pdf, https://regulations.phila-records.com/pdfs/OOS Emergency Regs Records Memo-4.10.2020.doc"
3/31/2020,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",EMERGENCY REGULATION GOVERNING ACCESS TO PHILADELPHIA INTERNATIONAL AIRPORT WITHOUT AN AIRPORT BUSINESS PURPOSE,N,Y,"https://regulations.phila-records.com/pdfs/Dept. of Commerce Emergency Regulation Approval Memo.3.31.2020.pdf, https://regulations.phila-records.com/pdfs/Dept. of Commerce Emergency Regulation Governing Access to PHL.3.31.2020.pdf"
3/31/2020,DEPARTMENT OF REVENUE AND LAW DEPARTMENT,SPECIAL REGULATION OF THE CITY OF PHILADELPHIA DEPARTMENT OF REVENUE AND LAW DEPARTMENT FOR WAIVER OF INTEREST AND PENALTIES FOR LATE FILING AND PAYMENT DUE TO COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/2020.3.30 Approval Memo for I and P Reg.pdf, https://regulations.phila-records.com/pdfs/Signed Reg - Law-Revenue - COVID 19.pdf"
3/27/2020,PHILADELPHIA GAS COMMISSION,EMERGENCY REGULATION GOVERNING STANDARD COMPETITIVE BIDDING FOR PHILADELPHIA GAS WORKS,N,Y,"https://regulations.phila-records.com/pdfs/Declaration of Extraordinary Circumstance.pdf, https://regulations.phila-records.com/pdfs/PGC Approval Memo for COVID-19.pdf, https://regulations.phila-records.com/pdfs/Signed Emergency Procurement Reg.jpg"
3/27/2020,DEPARTMENT OF PUBLIC HEALTH,EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19,N,Y,"https://regulations.phila-records.com/pdfs/2020.3.27 Approval Memo for Emergency Regulaltion Governing the Control and Prevention of COVID-19.pdf, https://regulations.phila-records.com/pdfs/20200327 Memo to Records re BOH COVID-19 regulation.pdf, https://regulations.phila-records.com/pdfs/Declaration of Extraordinary Circumstance[2].pdf, https://regulations.phila-records.com/pdfs/Emergency Regulation Governing the Control of COVID-19 with Attachment A[1].pdf"
3/20/2020,PHILADELPHIA WATER DEPARTMENT,EMERGENCY REGULATIONS ADDRESSING REVIEW OF PERMIT APPLICATION MATERIALS AND OTHER DOCUMENTS DURING THE COVID-19 EVENT,N,Y,"https://regulations.phila-records.com/pdfs/PWD Emergency Regs_Law Memo_3.20.2020.PDF, https://regulations.phila-records.com/pdfs/PWD Emergency Regs_Permit Review_3.20.2020.PDF"
3/20/2020,DEPARTMENT OF STREETS,EMERGENCY REGULATIONS ADDRESSING REVIEW OF PERMIT APPLICATION MATERIALS AND OTHER DOCUMENTS DURING THE COVID-19 EVENT,N,Y,"https://regulations.phila-records.com/pdfs/20200319 Emergency Review Period Regs JCK.pdf, https://regulations.phila-records.com/pdfs/20200320 Emergency Reg Approval.pdf"
3/19/2020,DEPARTMENT OF PLANNING AND DEVELOPMENT,EMERGENCY REGULATIONS ADDRESSING REVIEW OF APPLICATION AND OTHER MATERIALS AND DEEMED APPROVALS IN CONNECTION WITH THE COVID-19 EMERGENCY,N,Y,"https://regulations.phila-records.com/pdfs/DPD Reg Approval Letter 3.19.2020.pdf, https://regulations.phila-records.com/pdfs/Signed directive03.19.20 (34898).pdf"
3/18/2020,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS,N,Y,"https://regulations.phila-records.com/pdfs/5.158-draft-20-01.pdf, https://regulations.phila-records.com/pdfs/12.02-draft-19-12.pdf, https://regulations.phila-records.com/pdfs/Law Memo 20-01 (CHR Signed).pdf"
3/18/2020,PHILADELPHIA LICENSE AND INSPECTION REVIEW BOARD ,"PHILADELPHIA LICENSE AND INSPECTION REVIEW BOARD EMERGENCY REGULATION CONCERNING FILING DEADLINES, IN LIGHT OF TO THE COVID-19 EMERGENCY EPIDEMIC EVENT",N,Y,"https://regulations.phila-records.com/pdfs/Emergency BLIR Form-3-18.pdf, https://regulations.phila-records.com/pdfs/BLIR Emergency Covid 19 Reg Updated-3-18.pdf"
3/18/2020,Office of Human Resources,Civil Service Regulation 31.24 -Interim Regulation for Essential Employees' Pay for COVID emergency,N,Y,"https://regulations.phila-records.com/pdfs/Regulation 31.24 draft for March CSC.docx, https://regulations.phila-records.com/pdfs/20-03 Final Memo updated.pdf"
3/17/2020,PHILADELPHIA ZONING BOARD OF ADJUSTMENT,"EMERGENCY REGULATION CONCERNING FILING DEADLINES, IN LIGHT OF THE COVID-19 EMERGENCY EPIDEMIC EVENT",N,Y,https://regulations.phila-records.com/pdfs/ZBA Emergency Covid 19 Reg Final.pdf
3/16/2020,OFFICE OF THE MANAGING DIRECTOR,SUPPLEMENTAL EMERGENCY REGULATION REGARDING COVID-19 AND CHAPTER 9-4100 OF THE PHILADELPHIA CODE PROMOTING HEALTHY FAMILIES AND WORKPLACES,N,Y,https://regulations.phila-records.com/pdfs/03162020142718-0001.pdf
3/12/2020,DEPARTMENT OF PUBLIC HEALTH,AMENDMENTS TO REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NONCOMMUICABLE DISEASES AND CONDITIONS,N,Y,https://regulations.phila-records.com/pdfs/Temporary covid-19 reporting amendment_March2020 - approved by BOH.doc.pdf
3/12/2020,Philadelphia Water Department,"In accordance with Section 5-801 of the Philadelphia Home Rule Charter, Section 13-101 of the Philadelphia Code and the Regulations of the Philadelphia Water, Sewer and Storm Water Rate Board, the Philadelphia Water Department filed proposed changes to the rates and related charges on March 12, 2020. The filing is available online at www.phila.gov/water/rateboard or may be examined at the Department of Records, City Hall Room 156. Anyone wishing to be a Participant in the rate change proceeding should send notice to: Water, Sewer and Storm Water Rate Board, c/o Steven Liang, City of Philadelphia Law Department, 1515 Arch St., 17th Fl., Philadelphia, PA 19102 or WaterRateBoard@phila.gov ",N,Y,"https://regulations.phila-records.com/pdfs/Water, Sewer and Storm Water Rate Board  Homepage.htm"
3/11/2020,Office of the Mayor,Declaration of Extraordinary Circumstance: Suspending the Formal Regulatory Process for Regulations Concerning a Novel Coronavirus,N,Y,https://regulations.phila-records.com/pdfs/Regulatory Process COVD19 Proclamation.pdf
3/3/2020,Department of Streets,Center City Parking Regulations -  March 2020 Revisions,N,Y,https://regulations.phila-records.com/pdfs/Amendments to the Parking Regulations for the Center City Area.pdf
3/2/2020,Department of Revenue,Philadelphia Beverage Tax Regulations - Amendments to Section 101 and 401,N,Y,https://regulations.phila-records.com/pdfs/Sugar-Sweetened Beverage Tax Regulations.pdf
2/26/2020,Department of Public Health	,Regulation Relating to Maternal and Childhood Home Visiting Programs	,N,N,https://regulations.phila-records.com/pdfs/Regulation Relating to Maternal.pdf
2/26/2020,Department of Public Health	,Regulation Relating to Drug Overdose and Treatment Reporting Requirements	,N,Y,https://regulations.phila-records.com/pdfs/Regulation Relating to Drug Overdose.pdf
2/21/2020,Managing Director's Office,PROPOSED AMENDMENT TO REGULATIONS OF THE MANAGING DIRECTOR'S OFFICE REGARDING THE CITY OF PHILADELPHIA MUNICIPAL IDENTIFICATION CARD,N,N,https://regulations.phila-records.com/pdfs/Managing Directors Regulation 2-21-20.pdf
1/27/2020,Department of Streets,Center City Parking Regulations - January 2020 Revisions,N,Y,https://regulations.phila-records.com/pdfs/Proposed Changes 1-27-2020.pdf
1/23/2020,Department of Public Health,Regulation Relating to the Sale of Electronic Smoking Devices in Youth- Accessible and Adults-Only Establishments ,N,Y,https://regulations.phila-records.com/pdfs/Department of Public Health 2-24-20.pdf
1/10/2020,Office of Human Resources,Amendments of Civil Service Regulation 34 – Disability Accommodations,Yes.  Hearing scheduled by the Office of Human Resources,N,https://regulations.phila-records.com/pdfs/Amendments of Civil Service Regulation 34.PDF
1/10/2020,Office of Human Resources,Amendments of Civil Service Regulation 17.07 – Separation Due to Non-Service-Connected Disability,Yes.  Hearing scheduled by the Office of Human Resources,N,https://regulations.phila-records.com/pdfs/Amendments of Civil Service Regulation 17.07.pdf
1/10/2020,Office of Human Resources,Amendments of Civil Service Regulation 14.01 – Appointment from Eligible Lists,Yes.  Hearing scheduled by the Office of Human Resources,N,https://regulations.phila-records.com/pdfs/Amendments of Civil Service Regulation 14.01.pdf
1/10/2020,Office of Human Resources,Amendments of Civil Service Regulation 11.02 – List Used for Certification,Yes.  Hearing scheduled by the Office of Human Resources,N,https://regulations.phila-records.com/pdfs/Amendments of Civil Service Regulation 11.02.pdf
1/10/2020,Office of Human Resources,Amendments of Civil Service Service Regulation 10.01 – Type of List,Yes.  Hearing scheduled by the Office of Human Resources,N,https://regulations.phila-records.com/pdfs/Amendments of Civil Service Service Regulation 10.01.pdf
1/3/2020,Philadelphia Office of Sustainability,Regulations Governing Solar Incentives,Yes. Hearing Held on 2.19.2020 by the Office of Sustainability,Y,"https://regulations.phila-records.com/pdfs/Final Meeting Report - OOS Solar Regs 2.19.2020.pdf, https://regulations.phila-records.com/pdfs/Solar Incentive Regulations 2.19.2020 amendments redline.pdf, https://regulations.phila-records.com/pdfs/Solar Incentive Regulations final as amended 2.19.20.pdf, https://regulations.phila-records.com/pdfs/Solar Incentive- Regulations.pdf, https://regulations.phila-records.com/pdfs/Solar Incentives Regs- Hearing Notice.docx"
12/17/2019,Department of Streets,Center City Parking Revisions (December 2019),N,Y,https://regulations.phila-records.com/pdfs/Center City Parking Revisions December 2019.pdf
12/13/2019,Office of Human Resources,Amendment of Civil Service Regulations: 5.158 Classes Eligible for In-Position Promotion; 9.018 Examination Re-Scheduled due to Special Circumstances,N,Y,https://regulations.phila-records.com/pdfs/Amendment of Civil Service Regulations 5.158 and 9.018.pdf
12/6/2019,Department of Revenue and Philadelphia Water Department,Amendments to the Income-Based Water Rate Assistance Program Regulations of the Department of Revenue and the Philadelphia Water Department,"Yes, Hearing held on 1-15-2020 by the Department of Revenue and Philadelphia Water Department",Y,"https://regulations.phila-records.com/pdfs/Amendments to the Income-Based Water Rate Assistance Program Regulations.pdf, https://regulations.phila-records.com/pdfs/Hearing Report..pdf"
12/2/2019,Philadelphia Water Department,AMENDMENTS TO THE PHILADELPHIA WATER DEPARTMENT REGULATIONS: CHAPTER 6 STORMWATER,N,Y,https://regulations.phila-records.com/pdfs/PWD Water Dept Reg 12-2-19.pdf
11/26/2019,Philadelphia Department of Streets,CENTER CITY PARKING REVISIONS (NOVEMBER 2019),N,Y,https://regulations.phila-records.com/pdfs/Streets Dept. Reg 11-26-19.pdf
11/13/2019,Department of Streets,Department of Streets Parking Regulations: Center City: Revisions (November 2019)  ,N,Y,https://regulations.phila-records.com/pdfs/Dept of Streets  Parking Regulations Center City Revisions November 2019.pdf
10/18/2019,Department of Streets,Center City Parking Revisions (October 2019)	,N,Y,https://regulations.phila-records.com/pdfs/Streets Department Reg.pdf
10/16/2019,City Planning Commission,PHILADELPHIA CITY PLANNING COMMISSION REGULATIONS,N,Y,https://regulations.phila-records.com/pdfs/City Planning Reg.pdf
10/15/2019,Department of Public Health,Regulation Relating to Homicide Death Review,N,Y,https://regulations.phila-records.com/pdfs/Public health Regulation 10-15-19.pdf
10/4/2019,Managing Director's Office,REGULATIONS OF THE MANAGING DIRECTOR'S OFFICE REGARDING FAIR WORKWEEK EMPLOYMENT STANDARDS PURSUANT TO CHAPTER 9-4600 OF THE PHILADELPHIA CODE	,Yes. Hearing held on 11.18.2019 by the Managing Director’s Office,Y,"https://regulations.phila-records.com/pdfs/Fair Workweek entire report.pdf, https://regulations.phila-records.com/pdfs/Managing Directors Office Regulation-Fair WorkWeek Employment Standards Pursuant to Chapter 9-4600 of the Philadelphia Code.PDF"
9/26/2019,Department of Streets,Department of Streets Parking Regulations: Center City: Revisions  (September 2019),N,Y,https://regulations.phila-records.com/pdfs/Department of Streets Parking Regulation Center City Revisions September 2019.pdf
9/26/2019,Licenses and Inspections,Licenses & Inspections Department Regulation: Philadelphia Property Maintenance Code (September 2019) ,N,Y,https://regulations.phila-records.com/pdfs/Licenses and Inspections Regulation-Philadelphia Property Maintenance Code 10-28-19.pdf
9/26/2019,Licenses and Inspections,Licenses & Inspections Department Regulation: Philadelphia Fire Code (September 2019),N,Y,https://regulations.phila-records.com/pdfs/Licenses and Inspections Philadelphia Fire Code 10-28-19.pdf
9/16/2019,Procurement Department,Regulations Regarding Chapter 17-1400 Non-Competitively Bid Contracts; Financial Assistance,Yes. Hearing held on 11.13.2019 by the Procurement Department,Y,"https://regulations.phila-records.com/pdfs/17-1400 Report and Regulations.pdf, https://regulations.phila-records.com/pdfs/Procurement Department  Chapter 17-1400 10-17-19.PDF"
